Date,Channel Type,Per kWh,Renewables,Descriptor,Spike Status
2024-06-14,general,48.90884,15.834000000000001,neutral,none
2024-06-14,general,42.68379,12.028,low,none
2024-06-14,general,39.83736,9.135,low,none
2024-06-14,general,48.01433,5.8500000000000005,neutral,none
2024-06-14,general,48.8973,3.101,neutral,none
2024-06-14,general,49.7383,1.7489999999999999,neutral,none
2024-06-14,general,50.1119,1.484,neutral,none
2024-06-14,general,49.73791,1.846,neutral,none
2024-06-14,general,44.87093,2.555,neutral,none
2024-06-14,general,43.48073,2.899,low,none
2024-06-14,general,39.19509,2.864,low,none
2024-06-14,general,37.54463,3.08,low,none
2024-06-14,general,36.0294,3.2079999999999997,low,none
2024-06-14,general,35.59765,3.306,low,none
2024-06-14,general,41.52363,3.1489999999999996,low,none
2024-06-14,general,36.43141,3.351,low,none
2024-06-14,general,41.84901,3.628,low,none
2024-06-14,general,35.30183,3.688,low,none
2024-06-14,general,39.72054,3.537,low,none
2024-06-14,general,35.81672,3.6089999999999995,low,none
2024-06-15,general,32.88791,4.101,veryLow,none
2024-06-15,general,31.6446,4.21,veryLow,none
2024-06-15,general,30.00735,4.093,veryLow,none
2024-06-15,general,27.22253,5.026,veryLow,none
2024-06-15,general,28.01435,6.173,veryLow,none
2024-06-15,general,25.81694,7.3340000000000005,veryLow,none
2024-06-15,general,23.90717,10.644,veryLow,none
2024-06-15,general,25.68223,10.41,veryLow,none
2024-06-15,general,25.47957,9.639000000000001,veryLow,none
2024-06-15,general,26.66338,8.732,veryLow,none
2024-06-15,general,26.78723,7.539,veryLow,none
2024-06-15,general,25.46975,7.104000000000001,veryLow,none
2024-06-15,general,26.61836,7.268,veryLow,none
2024-06-15,general,30.70692,6.142,veryLow,none
2024-06-15,general,30.78434,6.148,veryLow,none
2024-06-15,general,29.91581,7.532,veryLow,none
2024-06-15,general,30.46421,10.588000000000001,veryLow,none
2024-06-15,general,30.52203,14.621999999999998,veryLow,none
2024-06-15,general,28.52851,18.232,veryLow,none
2024-06-15,general,23.74246,24.279,veryLow,none
2024-06-15,general,22.67962,26.848,veryLow,none
2024-06-15,general,19.97895,31.871,veryLow,none
2024-06-15,general,22.72031,32.003,veryLow,none
2024-06-15,general,25.02853,31.535000000000004,veryLow,none
2024-06-15,general,25.0293,31.655,veryLow,none
2024-06-15,general,23.88564,31.508000000000003,veryLow,none
2024-06-15,general,23.35862,28.871000000000002,veryLow,none
2024-06-15,general,22.38427,27.145000000000003,veryLow,none
2024-06-15,general,24.57095,21.666,veryLow,none
2024-06-15,general,22.40244,17.916999999999998,veryLow,none
2024-06-15,general,24.62444,14.581,veryLow,none
2024-06-15,general,30.72524,9.841999999999999,veryLow,none
2024-06-15,general,37.51539,5.888,low,none
2024-06-15,general,40.03947,2.7369999999999997,low,none
2024-06-15,general,42.60013,1.872,low,none
2024-06-15,general,48.67247,1.822,neutral,none
2024-06-15,general,48.16162,1.8030000000000002,neutral,none
2024-06-15,general,45.31274,1.7999999999999998,neutral,none
2024-06-15,general,37.00073,1.905,low,none
2024-06-15,general,35.76261,1.905,low,none
2024-06-15,general,41.16207,1.788,low,none
2024-06-15,general,39.81188,2.383,low,none
2024-06-15,general,36.45394,3.334,low,none
2024-06-15,general,36.26064,4.013,low,none
2024-06-15,general,39.78219,4.5120000000000005,low,none
2024-06-15,general,38.15735,4.8469999999999995,low,none
2024-06-15,general,33.53843,5.431,low,none
2024-06-15,general,29.11693,5.7509999999999994,veryLow,none
2024-06-12,controlledLoad,13.61364,21.243000000000002,veryLow,none
2024-06-12,controlledLoad,13.39341,22.883,veryLow,none
2024-06-12,controlledLoad,13.70232,24.072,veryLow,none
2024-06-12,controlledLoad,12.75432,25.764,veryLow,none
2024-06-12,controlledLoad,13.42571,27.369,veryLow,none
2024-06-12,controlledLoad,13.70232,28.560000000000002,veryLow,none
2024-06-12,controlledLoad,12.9117,28.846,veryLow,none
2024-06-12,controlledLoad,13.17875,28.407,veryLow,none
2024-06-12,controlledLoad,13.42832,27.488,veryLow,none
2024-06-12,controlledLoad,13.76862,27.358,veryLow,none
2024-06-12,controlledLoad,13.4465,26.767999999999997,veryLow,none
2024-06-12,controlledLoad,13.16766,25.75,veryLow,none
2024-06-12,controlledLoad,13.99853,23.405,veryLow,none
2024-06-12,controlledLoad,17.96119,21.012,veryLow,none
2024-06-12,controlledLoad,19.76784,20.980999999999998,veryLow,none
2024-06-12,controlledLoad,12.51171,25.962000000000003,veryLow,none
2024-06-12,controlledLoad,9.6115,34.643,veryLow,none
2024-06-12,controlledLoad,10.71936,43.13,veryLow,none
2024-06-12,controlledLoad,10.37754,51.585,veryLow,none
2024-06-12,controlledLoad,11.04498,56.31,veryLow,none
2024-06-12,controlledLoad,12.2855,59.257000000000005,veryLow,none
2024-06-12,controlledLoad,10.11603,60.873,veryLow,none
2024-06-12,controlledLoad,2.62857,62.157,extremelyLow,none
2024-06-12,controlledLoad,1.99625,61.007999999999996,extremelyLow,none
2024-06-12,controlledLoad,3.56321,61.987,extremelyLow,none
2024-06-12,controlledLoad,4.18875,62.58200000000001,extremelyLow,none
2024-06-12,controlledLoad,2.53719,59.963,extremelyLow,none
2024-06-12,controlledLoad,10.87195,59.632,veryLow,none
2024-06-12,controlledLoad,13.07891,54.957,veryLow,none
2024-06-12,controlledLoad,15.79088,47.323,veryLow,none
2024-06-12,controlledLoad,8.58649,41.876000000000005,veryLow,none
2024-06-12,controlledLoad,18.98682,33.024,veryLow,none
2024-06-12,controlledLoad,20.7626,23.677,veryLow,none
2024-06-12,controlledLoad,35.95204,15.995000000000001,neutral,none
2024-06-12,controlledLoad,31.18039,12.559000000000001,low,none
2024-06-12,controlledLoad,38.46462,11.673,neutral,none
2024-06-12,controlledLoad,40.92732,11.094999999999999,neutral,none
2024-06-12,controlledLoad,37.28656,10.857,neutral,none
2024-06-12,controlledLoad,30.42994,10.184,low,none
2024-06-12,controlledLoad,28.40657,10.075000000000001,low,none
2024-06-12,controlledLoad,26.24276,9.853000000000002,low,none
2024-06-12,controlledLoad,24.25103,9.089,low,none
2024-06-12,controlledLoad,24.53523,8.895,low,none
2024-06-12,controlledLoad,25.04866,8.869,low,none
2024-06-12,controlledLoad,24.10319,8.324,low,none
2024-06-12,controlledLoad,30.858,7.3069999999999995,low,none
2024-06-12,controlledLoad,31.43667,6.441,low,none
2024-06-12,controlledLoad,27.97382,6.4079999999999995,low,none
2024-06-13,controlledLoad,27.20454,5.861000000000001,low,none
2024-06-13,controlledLoad,18.1148,6.237,veryLow,none
2024-06-13,controlledLoad,18.18552,5.531,veryLow,none
2024-06-13,controlledLoad,18.15105,4.723999999999999,veryLow,none
2024-06-13,controlledLoad,18.31584,4.605,veryLow,none
2024-06-13,controlledLoad,19.13575,5.1819999999999995,veryLow,none
2024-06-13,controlledLoad,18.40545,5.2010000000000005,veryLow,none
2024-06-13,controlledLoad,19.17087,4.918,veryLow,none
2024-06-13,controlledLoad,19.16906,4.883,veryLow,none
2024-06-13,controlledLoad,19.20286,5.156000000000001,veryLow,none
2024-06-13,controlledLoad,23.63783,5.507,low,none
2024-06-13,controlledLoad,29.13081,5.546,low,none
2024-06-13,controlledLoad,37.19364,5.768,neutral,none
2024-06-13,controlledLoad,41.85718,5.109,high,none
2024-06-13,controlledLoad,42.31049,5.851,high,none
2024-06-13,controlledLoad,41.25459,10.947,neutral,none
2024-06-13,controlledLoad,15.238,18.279999999999998,veryLow,none
2024-06-13,controlledLoad,16.84492,25.546000000000003,veryLow,none
2024-06-13,controlledLoad,20.97644,29.464000000000002,veryLow,none
2024-06-13,controlledLoad,11.79676,34.827999999999996,veryLow,none
2024-06-13,controlledLoad,19.09324,37.54,veryLow,none
2024-06-13,controlledLoad,30.94266,35.882,low,none
2024-06-13,controlledLoad,19.87604,37.899,veryLow,none
2024-06-13,controlledLoad,19.19293,37.617,veryLow,none
2024-06-13,controlledLoad,21.38852,35.741,veryLow,none
2024-06-13,controlledLoad,23.275,35.760999999999996,low,none
2024-06-13,controlledLoad,38.08333,29.688,neutral,none
2024-06-13,controlledLoad,40.64549,25.149,neutral,none
2024-06-13,controlledLoad,41.20445,21.083,neutral,none
2024-06-13,controlledLoad,40.48384,17.423,neutral,none
2024-06-13,controlledLoad,41.33658,13.267999999999999,neutral,none
2024-06-13,controlledLoad,41.57498,7.837,high,none
2024-06-13,controlledLoad,48.4992,3.053,high,none
2024-06-13,controlledLoad,64.56885,0.526,high,none
2024-06-13,controlledLoad,86.07133,0.064,high,none
2024-06-13,controlledLoad,103.91907,0.053,high,none
2024-06-13,controlledLoad,68.00647,0.027999999999999997,high,none
2024-06-13,controlledLoad,48.44805,0.064,high,none
2024-06-13,controlledLoad,41.86901,0.048,high,none
2024-06-13,controlledLoad,41.99421,0.1,high,none
2024-06-13,controlledLoad,42.129,0.14300000000000002,high,none
2024-06-13,controlledLoad,40.53541,0.271,neutral,none
2024-06-13,controlledLoad,38.04146,0.307,neutral,none
2024-06-13,controlledLoad,28.02246,0.622,low,none
2024-06-13,controlledLoad,31.40245,0.804,low,none
2024-06-13,controlledLoad,32.89009,1.4789999999999999,neutral,none
2024-06-13,controlledLoad,32.69738,1.4120000000000001,neutral,none
2024-06-13,controlledLoad,34.54998,1.106,neutral,none
2024-06-14,controlledLoad,26.81846,1.5779999999999998,low,none
2024-06-14,controlledLoad,27.26226,2.357,low,none
2024-06-14,controlledLoad,24.9591,2.297,low,none
2024-06-14,controlledLoad,28.93454,2.102,low,none
2024-06-14,controlledLoad,28.68391,1.8579999999999999,low,none
2024-06-14,controlledLoad,31.0573,1.8030000000000002,low,none
2024-06-14,controlledLoad,31.37607,1.8579999999999999,low,none
2024-06-14,controlledLoad,26.95858,2.005,low,none
2024-06-14,controlledLoad,26.78514,1.7229999999999999,low,none
2024-06-14,controlledLoad,30.24335,1.77,low,none
2024-06-14,controlledLoad,30.41427,1.918,low,none
2024-06-14,controlledLoad,30.4914,2.251,low,none
2024-06-14,controlledLoad,27.95532,2.138,low,none
2024-06-14,controlledLoad,43.24715,2.092,high,none
2024-06-14,controlledLoad,45.45777,2.9690000000000003,high,none
2024-06-14,controlledLoad,42.41163,5.792,high,none
2024-06-14,controlledLoad,37.54968,10.183,neutral,none
2024-06-14,controlledLoad,30.20193,13.261000000000001,low,none
2024-06-14,controlledLoad,37.13583,16.150000000000002,neutral,none
2024-06-14,controlledLoad,29.83027,19.580000000000002,low,none
2024-06-14,controlledLoad,29.08215,22.442999999999998,low,none
2024-06-14,controlledLoad,31.83523,24.160999999999998,neutral,none
2024-06-14,controlledLoad,33.6806,25.246000000000002,neutral,none
2024-06-14,controlledLoad,32.49534,26.151999999999997,neutral,none
2024-06-14,controlledLoad,31.77583,25.637,neutral,none
2024-06-14,controlledLoad,35.71286,22.016,neutral,none
2024-06-14,controlledLoad,34.72815,20.604,neutral,none
2024-06-14,controlledLoad,34.90295,19.212,neutral,none
2024-06-14,controlledLoad,41.03955,15.834000000000001,neutral,none
2024-06-14,controlledLoad,34.8145,12.028,neutral,none
2024-06-14,controlledLoad,31.96807,9.135,neutral,none
2024-06-14,controlledLoad,40.14504,5.8500000000000005,neutral,none
2024-06-14,controlledLoad,41.02801,3.101,neutral,none
2024-06-14,controlledLoad,41.86901,1.7489999999999999,high,none
2024-06-14,controlledLoad,42.24261,1.484,high,none
2024-06-14,controlledLoad,41.86862,1.846,high,none
2024-06-14,controlledLoad,37.00164,2.555,neutral,none
2024-06-14,controlledLoad,35.61144,2.899,neutral,none
2024-06-14,controlledLoad,31.3258,2.864,low,none
2024-06-14,controlledLoad,29.67534,3.08,low,none
2024-06-14,controlledLoad,28.16011,3.2079999999999997,low,none
2024-06-14,controlledLoad,27.72836,3.306,low,none
2024-06-14,controlledLoad,33.65434,3.1489999999999996,neutral,none
2024-06-14,controlledLoad,28.56212,3.351,low,none
2024-06-14,controlledLoad,33.97972,3.628,neutral,none
2024-06-14,controlledLoad,27.43254,3.688,low,none
2024-06-14,controlledLoad,31.85125,3.537,neutral,none
2024-06-14,controlledLoad,27.94743,3.6089999999999995,low,none
2024-06-15,controlledLoad,25.01862,4.101,low,none
2024-06-15,controlledLoad,23.77531,4.21,low,none
2024-06-15,controlledLoad,22.13806,4.093,low,none
2024-06-15,controlledLoad,19.35324,5.026,veryLow,none
2024-06-15,controlledLoad,20.14506,6.173,veryLow,none
2024-06-15,controlledLoad,17.94765,7.3340000000000005,veryLow,none
2024-06-15,controlledLoad,16.03788,10.644,veryLow,none
2024-06-15,controlledLoad,17.81294,10.41,veryLow,none
2024-06-15,controlledLoad,17.61028,9.639000000000001,veryLow,none
2024-06-15,controlledLoad,18.79409,8.732,veryLow,none
2024-06-15,controlledLoad,18.91794,7.539,veryLow,none
2024-06-15,controlledLoad,17.60046,7.104000000000001,veryLow,none
2024-06-15,controlledLoad,18.74907,7.268,veryLow,none
2024-06-15,controlledLoad,22.83763,6.142,low,none
2024-06-15,controlledLoad,22.91505,6.148,low,none
2024-06-15,controlledLoad,22.04652,7.532,low,none
2024-06-15,controlledLoad,22.59492,10.588000000000001,low,none
2024-06-15,controlledLoad,22.65274,14.621999999999998,low,none
2024-06-15,controlledLoad,20.65922,18.232,veryLow,none
2024-06-15,controlledLoad,15.87317,24.279,veryLow,none
2024-06-15,controlledLoad,14.81033,26.848,veryLow,none
2024-06-15,controlledLoad,12.10966,31.871,veryLow,none
2024-06-15,controlledLoad,14.85102,32.003,veryLow,none
2024-06-15,controlledLoad,17.15924,31.535000000000004,veryLow,none
2024-06-15,controlledLoad,17.16001,31.655,veryLow,none
2024-06-15,controlledLoad,16.01635,31.508000000000003,veryLow,none
2024-06-15,controlledLoad,15.48933,28.871000000000002,veryLow,none
2024-06-15,controlledLoad,14.51498,27.145000000000003,veryLow,none
2024-06-15,controlledLoad,16.70166,21.666,veryLow,none
2024-06-15,controlledLoad,14.53315,17.916999999999998,veryLow,none
2024-06-15,controlledLoad,16.75515,14.581,veryLow,none
2024-06-15,controlledLoad,22.85595,9.841999999999999,low,none
2024-06-15,controlledLoad,29.6461,5.888,low,none
2024-06-15,controlledLoad,32.17018,2.7369999999999997,neutral,none
2024-06-15,controlledLoad,34.73084,1.872,neutral,none
2024-06-15,controlledLoad,40.80318,1.822,neutral,none
2024-06-15,controlledLoad,40.29233,1.8030000000000002,neutral,none
2024-06-15,controlledLoad,37.44345,1.7999999999999998,neutral,none
2024-06-15,controlledLoad,29.13144,1.905,low,none
2024-06-15,controlledLoad,27.89332,1.905,low,none
2024-06-15,controlledLoad,33.29278,1.788,neutral,none
2024-06-15,controlledLoad,31.94259,2.383,neutral,none
2024-06-15,controlledLoad,28.58465,3.334,low,none
2024-06-15,controlledLoad,28.39135,4.013,low,none
2024-06-15,controlledLoad,31.9129,4.5120000000000005,neutral,none
2024-06-15,controlledLoad,30.28806,4.8469999999999995,low,none
2024-06-15,controlledLoad,25.66914,5.431,low,none
2024-06-15,controlledLoad,21.24764,5.7509999999999994,veryLow,none
2024-06-15,general,32.88791,4.101,veryLow,none
2024-06-15,general,31.6446,4.21,veryLow,none
2024-06-15,general,30.00735,4.093,veryLow,none
2024-06-15,general,27.22253,5.026,veryLow,none
2024-06-15,general,28.01435,6.173,veryLow,none
2024-06-15,general,25.81694,7.3340000000000005,veryLow,none
2024-06-15,general,23.90717,10.644,veryLow,none
2024-06-15,general,25.68223,10.41,veryLow,none
2024-06-15,general,25.47957,9.639000000000001,veryLow,none
2024-06-15,general,26.66338,8.732,veryLow,none
2024-06-15,general,26.78723,7.539,veryLow,none
2024-06-15,general,25.46975,7.104000000000001,veryLow,none
2024-06-15,general,26.61836,7.268,veryLow,none
2024-06-15,general,30.70692,6.142,veryLow,none
2024-06-15,general,30.78434,6.148,veryLow,none
2024-06-15,general,29.91581,7.532,veryLow,none
2024-06-15,general,30.46421,10.588000000000001,veryLow,none
2024-06-15,general,30.52203,14.621999999999998,veryLow,none
2024-06-15,general,28.52851,18.232,veryLow,none
2024-06-15,general,23.74246,24.279,veryLow,none
2024-06-15,general,22.67962,26.848,veryLow,none
2024-06-15,general,19.97895,31.871,veryLow,none
2024-06-15,general,22.72031,32.003,veryLow,none
2024-06-15,general,25.02853,31.535000000000004,veryLow,none
2024-06-15,general,25.0293,31.655,veryLow,none
2024-06-15,general,23.88564,31.508000000000003,veryLow,none
2024-06-15,general,23.35862,28.871000000000002,veryLow,none
2024-06-15,general,22.38427,27.145000000000003,veryLow,none
2024-06-15,general,24.57095,21.666,veryLow,none
2024-06-15,general,22.40244,17.916999999999998,veryLow,none
2024-06-15,general,24.62444,14.581,veryLow,none
2024-06-15,general,30.72524,9.841999999999999,veryLow,none
2024-06-15,general,37.51539,5.888,low,none
2024-06-15,general,40.03947,2.7369999999999997,low,none
2024-06-15,general,42.60013,1.872,low,none
2024-06-15,general,48.67247,1.822,neutral,none
2024-06-15,general,48.16162,1.8030000000000002,neutral,none
2024-06-15,general,45.31274,1.7999999999999998,neutral,none
2024-06-15,general,37.00073,1.905,low,none
2024-06-15,general,35.76261,1.905,low,none
2024-06-15,general,41.16207,1.788,low,none
2024-06-15,general,39.81188,2.383,low,none
2024-06-15,general,36.45394,3.334,low,none
2024-06-15,general,36.26064,4.013,low,none
2024-06-15,general,39.78219,4.5120000000000005,low,none
2024-06-15,general,38.15735,4.8469999999999995,low,none
2024-06-15,general,33.53843,5.431,low,none
2024-06-15,general,29.11693,5.7509999999999994,veryLow,none
2024-06-16,general,28.74913,5.571000000000001,veryLow,none
2024-06-16,general,27.11271,5.404,veryLow,none
2024-06-16,general,27.8406,5.334,veryLow,none
2024-06-16,general,26.2731,5.059,veryLow,none
2024-06-16,general,24.57059,4.556,veryLow,none
2024-06-16,general,24.03049,5.6160000000000005,veryLow,none
2024-06-16,general,23.68704,5.489999999999999,veryLow,none
2024-06-16,general,24.09706,5.59,veryLow,none
2024-06-16,general,24.22901,4.65,veryLow,none
2024-06-16,general,24.7354,4.784,veryLow,none
2024-06-16,general,25.35236,5.034000000000001,veryLow,none
2024-06-16,general,24.33567,5.235,veryLow,none
2024-06-16,general,27.18123,5.194,veryLow,none
2024-06-16,general,34.22836,4.239,low,none
2024-06-16,general,33.35344,5.258,veryLow,none
2024-06-16,general,27.58234,10.739,veryLow,none
2024-06-16,general,23.38603,22.398,veryLow,none
2024-06-16,general,21.34383,32.397,veryLow,none
2024-06-16,general,18.85082,40.742,veryLow,none
2024-06-16,general,19.79876,45.954,veryLow,none
2024-06-16,general,15.37364,51.129000000000005,veryLow,none
2024-06-16,general,12.97776,55.159000000000006,extremelyLow,none
2024-06-16,general,14.20224,57.596000000000004,extremelyLow,none
2024-06-16,general,10.9287,58.326,extremelyLow,none
2024-06-16,general,10.0135,58.633,extremelyLow,none
2024-06-16,general,10.12242,59.487,extremelyLow,none
2024-06-16,general,10.33247,58.5,extremelyLow,none
2024-06-16,general,12.31116,57.663,extremelyLow,none
2024-06-16,general,15.91706,54.825,veryLow,none
2024-06-16,general,20.48607,49.641000000000005,veryLow,none
2024-06-16,general,20.19551,41.264,veryLow,none
2024-06-16,general,21.29061,30.468,veryLow,none
2024-06-16,general,28.62657,17.916,veryLow,none
2024-06-16,general,40.22299,9.129,low,none
2024-06-16,general,35.87853,7.301,low,none
2024-06-16,general,47.11047,7.183000000000001,neutral,none
2024-06-16,general,45.49425,7.144,neutral,none
2024-06-16,general,41.6872,7.170999999999999,low,none
2024-06-16,general,40.88146,7.95,low,none
2024-06-16,general,36.27525,7.927,low,none
2024-06-16,general,36.90656,8.061,low,none
2024-06-16,general,36.21959,8.384,low,none
2024-06-16,general,33.27141,8.77,veryLow,none
2024-06-16,general,31.477,9.009,veryLow,none
2024-06-16,general,30.13497,9.424000000000001,veryLow,none
2024-06-16,general,28.87363,9.664,veryLow,none
2024-06-16,general,27.39553,9.829,veryLow,none
2024-06-16,general,27.19978,10.116999999999999,veryLow,none
2024-06-17,general,27.69396,10.281,veryLow,none
2024-06-17,general,27.19378,9.77,veryLow,none
2024-06-17,general,27.4593,9.383,veryLow,none
2024-06-17,general,26.56806,9.754,veryLow,none
2024-06-17,general,26.66382,10.169,veryLow,none
2024-06-17,general,27.14703,10.366,veryLow,none
2024-06-17,general,26.78061,10.152999999999999,veryLow,none
2024-06-17,general,27.26667,10.426,veryLow,none
2024-06-17,general,28.13189,10.717,veryLow,none
2024-06-17,general,30.42773,9.973,veryLow,none
2024-06-17,general,32.06493,9.124,veryLow,none
2024-06-17,general,33.71955,8.290000000000001,low,none
2024-06-17,general,40.79011,7.494000000000001,low,none
2024-06-17,general,48.79477,6.306000000000001,neutral,none
2024-06-17,general,51.40163,6.404,neutral,none
2024-06-17,general,45.99263,10.979999999999999,neutral,none
2024-06-17,general,37.48935,20.294999999999998,low,none
2024-06-17,general,31.09963,30.009999999999998,veryLow,none
2024-06-17,general,26.86925,37.065,veryLow,none
2024-06-17,general,25.30082,41.144999999999996,veryLow,none
2024-06-17,general,25.02404,44.502,veryLow,none
2024-06-17,general,24.53563,46.18,veryLow,none
2024-06-17,general,26.28206,45.598,veryLow,none
2024-06-17,general,27.50035,44.458,veryLow,none
2024-06-17,general,28.17177,43.059,veryLow,none
2024-06-17,general,27.77255,42.705,veryLow,none
2024-06-17,general,37.47918,40.54,low,none
2024-06-17,general,39.51069,39.061,low,none
2024-06-17,general,26.98471,38.462,veryLow,none
2024-06-17,general,24.81706,36.521,veryLow,none
2024-06-17,general,21.00591,32.544000000000004,veryLow,none
